"Zunzingen, 15.03.2021",Data per day from: 01.01.2018 to 31.12.2018,,,,,,,,,,,,,
time,Date,Tmin,Tavg,Tmax,LeafSurfGrowing,LeafSurfNoGrowing,TotalLeafSurf,NbrLeaves,DegrDaysBeeryInf,SuscBeery,IntensityOfInf,complInk.Leaf,complInk.Beery,RiskIndexMark
14.07.2018 12:00:00,14.07.2018,13.5,22.706388888889,29.92,522.793934344284,3012.79383106336,3535.58776540764,27,415.354027777778,4.984103509052,0.032331309891,0,0,
15.07.2018 12:00:00,15.07.2018,16.28,22.476458333333,31.21,476.593527896022,3075.68189382205,3552.27542171807,28,427.819305555556,3.760149890185,68.795000009078,0,0,
16.07.2018 12:00:00,16.07.2018,13.48,21.737430555556,29.4,472.369364705257,3111.06504767392,3583.43441237918,28,439.554097222222,2.85079403642,73.019000008624,0,0,
17.07.2018 12:00:00,17.07.2018,13.65,21.798472222222,30.5,462.661429903545,3138.50954739568,3601.17097729922,28,451.359722222222,2.133433417291,21.34819394013,0,0,
18.07.2018 12:00:00,18.07.2018,13.57,22.063402777778,29.85,441.337188942187,3171.54565877942,3612.88284772161,29,463.423819444445,1.567965222224,18.809215624758,2,0,
19.07.2018 12:00:00,19.07.2018,13.71,22.416527777778,30.04,411.128533232362,3230.61416909953,3641.7427023319,29,475.840694444445,1.127975237411,19.075319696713,1,0,
20.07.2018 12:00:00,20.07.2018,15.8,22.135416666667,32.97,430.091690568893,3230.62022332869,3660.71191389759,29,487.983819444445,0.807485210103,106.467532636067,0,0,!
21.07.2018 12:00:00,21.07.2018,16.33,20.277222222222,23.86,377.39091091691,3292.04034625288,3669.43125716979,29,498.246944444445,0.603075374283,127.879199302734,0,0,!
22.07.2018 12:00:00,22.07.2018,14.55,21.055694444444,27.22,371.180608489414,3317.59313764746,3688.77374613687,30,509.308958333333,0.436077452103,59.420897935527,0,0,
23.07.2018 12:00:00,23.07.2018,14.8,21.734791666667,28.67,390.121536654379,3317.59876788538,3707.72030453976,30,521.045208333333,0.305798160824,15.285429219934,0,0,
24.07.2018 12:00:00,24.07.2018,14.31,23.912222222222,32.07,403.663211632743,3317.60344838927,3721.26666002201,30,534.977430555556,0.197757870251,41.693442209164,0,0,
25.07.2018 12:00:00,25.07.2018,17.17,25.064027777778,33.71,342.150079368674,3400.40319968978,3742.55327905845,31,550.027777777778,0.121315289364,0.077593335128,0,0,
26.07.2018 12:00:00,26.07.2018,15.7,25.672430555556,34.63,358.437905557777,3400.40961167143,3758.84751722921,31,565.710208333333,0.071490643075,0.000014865427,0,0,
27.07.2018 12:00:00,27.07.2018,14.87,25.080208333333,33.85,319.249553679208,3449.43407687704,3768.68363055624,31,580.786944444445,0.042192998807,0.00000000284793675041,0,0,
28.07.2018 12:00:00,28.07.2018,17.01,22.567847222222,26.69,311.788167299302,3477.92661008467,3789.71477738397,31,593.36375,0.026794468173,36.75,0,0,
29.07.2018 12:00:00,29.07.2018,15.6,24.748819444444,33.03,324.274234412638,3477.93222150663,3802.20645591927,32,608.108888888889,0.01547809173,1.801166899146,0,0,
30.07.2018 12:00:00,30.07.2018,15.64,26.002638888889,35.23,284.318351350391,3523.91244966531,3808.2308010157,32,624.1075,0.008364097365,0.00249308797,0,0,
31.07.2018 12:00:00,31.07.2018,16.1,26.22875,34.84,273.101291535865,3551.05018837948,3824.15147991535,32,640.348611111111,0.004383250379,0.000000477629,0,0,
01.08.2018 12:00:00,01.08.2018,18.74,24.735069444444,29.91,243.213936818914,3592.96213237167,3836.17606919059,32,655.068125,0.002395486798,41.031666666667,2,0,
02.08.2018 12:00:00,02.08.2018,17.32,24.460763888889,31.86,249.753657064102,3592.96887951409,3842.7225365782,33,669.547291666667,0.001299537482,147.386666666667,0,0,!
03.08.2018 12:00:00,03.08.2018,17.51,26.704652777778,34.53,253.200208122112,3592.97437326128,3846.17458138339,33,686.261319444444,0.000627992656,35.227603161554,0,0,
04.08.2018 12:00:00,04.08.2018,19.79,27.254652777778,35.59,241.546594311948,3618.13736349628,3859.68395780823,33,703.499722222222,0.000289631907,0.06556012344,0,0,
05.08.2018 12:00:00,05.08.2018,18.04,25.357291666667,32.77,208.222167032474,3655.94614848365,3864.16831551613,33,718.854375,0.000142430859,0.000012560089,0,0,
06.08.2018 12:00:00,06.08.2018,17.13,26.280763888889,35.74,210.226678594415,3655.95142706908,3866.17810566349,33,735.160833333333,0.00006563135,0.00000000240627735099,0,0,
07.08.2018 12:00:00,07.08.2018,20.27,27.209375,35.33,187.316889957569,3680.11113713294,3867.42802709051,33,752.350555555556,0.000028326634,0.00000000000046099758,0,0,
08.08.2018 12:00:00,08.08.2018,18.12,25.377430555556,32.07,170.061845980835,3698.05229893914,3868.11414491998,33,767.706458333333,0.000013102605,40,0,0,
09.08.2018 12:00:00,09.08.2018,16.97,22.132569444444,31.61,118.223626614225,3750.19358813955,3868.41721475377,33,779.837708333333,0.000007029573,49.029369356001,0,0,
10.08.2018 12:00:00,10.08.2018,13.83,20.271111111111,26.59,71.795675275368,3796.71212750997,3868.50780278534,33,790.088611111111,0.000004114846,42.564120336881,0,0,
11.08.2018 12:00:00,11.08.2018,12.07,19.523680555556,26.73,0,3868.50814439636,3868.50814439636,33,799.591041666667,0.000002485625,0.016641809361,0,0,
12.08.2018 12:00:00,12.08.2018,10.35,21.138055555556,31.33,0,3868.50814439636,3868.50814439636,33,810.781527777778,0.000001359963,9.025000574126,0,0,
13.08.2018 12:00:00,13.08.2018,14.83,20.7525,26.19,0,3868.50814439636,3868.50814439636,33,821.536319444444,0.00000075446,82.275185855537,1,0,
14.08.2018 12:00:00,14.08.2018,15.35,21.254236111111,26.59,0,3868.50814439636,3868.50814439636,33,832.759444444444,0.000000403863,54.371226452324,0,0,
15.08.2018 12:00:00,15.08.2018,12.49,20.504236111111,28.89,0,3868.50814439636,3868.50814439636,33,843.264513888889,0.000000222922,55.744684960041,0,0,
16.08.2018 12:00:00,16.08.2018,12.3,21.779861111111,31.76,0,3868.50814439636,3868.50814439636,33,855.056041666667,0.000000113191,37.365521837223,0,0,
17.08.2018 12:00:00,17.08.2018,14.88,22.326527777778,31.85,0,3868.50814439636,3868.50814439636,33,867.386458333333,0.000000055049,37.170655449984,0,0,
18.08.2018 12:00:00,18.08.2018,17.03,21.185416666667,26.45,0,3868.50814439636,3868.50814439636,33,878.584861111111,0.000000028299,121.748988783317,0,0,!
19.08.2018 12:00:00,19.08.2018,17.21,22.641944444444,30.09,0,3868.50814439636,3868.50814439636,33,891.214097222222,0.000000013199,1.762633146999,0,0,
20.08.2018 12:00:00,20.08.2018,14.11,22.753402777778,31.04,0,3868.50814439636,3868.50814439636,33,903.975277777778,0.00000000602684474942,17.855060093663,0,0,
21.08.2018 12:00:00,21.08.2018,15.39,23.32,31.18,0,3868.50814439636,3868.50814439636,33,917.299375,0.00000000262107863522,46.201397565678,0,0,
22.08.2018 12:00:00,22.08.2018,16.51,24.610763888889,33.7,0,3868.50814439636,3868.50814439636,33,931.915972222222,0.0000000010340932305,26.386558372906,0,0,
23.08.2018 12:00:00,23.08.2018,17.78,24.954027777778,32.23,0,3868.50814439636,3868.50814439636,33,946.867083333333,0.00000000039225311775,0.058314027048,0,0,
24.08.2018 12:00:00,24.08.2018,13.23,19.217777777778,25.12,0,3868.50814439636,3868.50814439636,33,956.049444444445,0.00000000021433103695,41.106450709766,0,0,
25.08.2018 12:00:00,25.08.2018,10.25,13.778263888889,15.78,0,3868.50814439636,3868.50814439636,33,959.800763888889,0.0000000001671063341,114.160497122462,0,0,!
26.08.2018 12:00:00,26.08.2018,6.49,14.148680555556,21.9,0,3868.50814439636,3868.50814439636,33,963.969236111111,0.0000000001265598887,149.368830455795,0,0,!
27.08.2018 12:00:00,27.08.2018,13.11,19.838402777778,26.47,0,3868.50814439636,3868.50814439636,33,973.832152777778,0.00000000006520299476,0.709137710257,0,0,
28.08.2018 12:00:00,28.08.2018,13.72,19.799236111111,28.29,0,3868.50814439636,3868.50814439636,33,983.614305555556,0.00000000003351153365,70.95008559021,0,0,
29.08.2018 12:00:00,29.08.2018,13.34,19.565486111111,28.01,0,3868.50814439636,3868.50814439636,33,993.197569444445,0.00000000001732653985,101.992525110405,0,0,!
30.08.2018 12:00:00,30.08.2018,14.86,17.830833333333,22.62,0,3868.50814439636,3868.50814439636,33,1001.01354166667,0.00000000001006126321,176.470858443738,0,0,!!
31.08.2018 12:00:00,31.08.2018,12.3,13.685763888889,15.1,0,3868.50814439636,3868.50814439636,33,1004.68284722222,0.00000000000778189171,132.131782726763,1,0,!
01.09.2018 12:00:00,01.09.2018,12.32,15.470416666667,19.68,0,3868.50814439636,3868.50814439636,33,1010.15111111111,0.00000000000529583708,209.521782726763,0,0,!!
02.09.2018 12:00:00,02.09.2018,11.02,14.893194444444,17.99,0,3868.50814439636,3868.50814439636,33,1015.05659722222,0.00000000000374184238,69.177871312133,0,0,
03.09.2018 12:00:00,03.09.2018,14.05,16.731458333333,21.05,0,3868.50814439636,3868.50814439636,33,1021.78541666667,0.00000000000231622344,102.396025000572,0,0,!
04.09.2018 12:00:00,04.09.2018,11.3,17.880138888889,24.77,0,3868.50814439636,3868.50814439636,33,1029.67944444444,0.00000000000131328693,47.354775017228,0,0,
05.09.2018 12:00:00,05.09.2018,11.89,19.047638888889,28.17,0,3868.50814439636,3868.50814439636,33,1038.71701388889,0.00000000000068160372,79.166522432414,0,0,
06.09.2018 12:00:00,06.09.2018,12.26,17.551319444444,23.47,0,3868.50814439636,3868.50814439636,33,1046.28576388889,0.00000000000039153414,79.057714805258,0,0,
07.09.2018 12:00:00,07.09.2018,11.6,18.020347222222,24.62,0,3868.50814439636,3868.50814439636,33,1054.27131944444,0.00000000000021704462,161.237714805258,0,0,!!
08.09.2018 12:00:00,08.09.2018,10.2,15.924375,24.77,0,3868.50814439636,3868.50814439636,33,1060.19020833333,0.00000000000013969504,84.41720714808,0,0,
09.09.2018 12:00:00,09.09.2018,9.26,17.015277777778,28.2,0,3868.50814439636,3868.50814439636,33,1067.21055555556,0.00000000000008252626,86.220490077405,0,0,!
10.09.2018 12:00:00,10.09.2018,8.91,18.795208333333,29.96,0,3868.50814439636,3868.50814439636,33,1076.02333333333,0.0000000000000423808,27.477098043589,2,0,
11.09.2018 12:00:00,11.09.2018,10.9,20.18625,30.81,0,3868.50814439636,3868.50814439636,33,1086.21208333333,0.00000000000001945937,33.369956060984,0,0,
12.09.2018 12:00:00,12.09.2018,11.47,21.669930555556,32.62,0,3868.50814439636,3868.50814439636,33,1097.90194444444,7.88416124318526E-015,35.888999020342,0,0,
13.09.2018 12:00:00,13.09.2018,14.6,19.120833333333,26.39,0,3868.50814439636,3868.50814439636,33,1107.01368055556,3.86866411954678E-015,85.46610369091,0,0,
14.09.2018 12:00:00,14.09.2018,13.67,17.672638888889,22.83,0,3868.50814439636,3868.50814439636,33,1114.66729166667,2.11628254925172E-015,174.442770357577,2,0,!!
15.09.2018 12:00:00,15.09.2018,9.76,15.851458333333,22.04,0,3868.50814439636,3868.50814439636,33,1120.49145833333,1.33296589143348E-015,118.89755103016,0,0,!
