"Zunzingen, 16.03.2021",Data per day from: 01.01.2015 to 31.12.2015,,,,,,,,,,,,,
time,Date,Tmin,Tavg,Tmax,LeafSurfGrowing,LeafSurfNoGrowing,TotalLeafSurf,NbrLeaves,DegrDaysBeeryInf,SuscBeery,IntensityOfInf,complInk.Leaf,complInk.Beery,RiskIndexMark
24.04.2015 12:00:00,24.04.2015,3.13,14.300555555556,24,4.028308333337,0,4.028308333337,1,0,0,1.198333333333,0,0,
25.04.2015 12:00:00,25.04.2015,8.15,14.034652777778,18.89,4.321009768239,0,4.321009768239,1,0,0,81.935723398235,0,0,
26.04.2015 12:00:00,26.04.2015,12.32,16.45125,21.79,6.064040610971,0,6.064040610971,1,0,0,101.177390064901,0,0,!
27.04.2015 12:00:00,27.04.2015,9.54,15.398333333333,20.25,7.927644177346,0,7.927644177346,1,0,0,120.314191933978,0,0,!
28.04.2015 12:00:00,28.04.2015,4.9,9.155347222222,13.35,0,7.927644177346,7.927644177346,1,0,0,73.779182533395,0,0,
29.04.2015 12:00:00,29.04.2015,2.44,10.598333333333,17.47,10.348282316997,0,10.348282316997,1,0,0,6.124906017975,0,0,
30.04.2015 12:00:00,30.04.2015,9.25,12.519236111111,17.47,13.203180190513,0,13.203180190513,1,0,0,26.843361507541,0,0,
01.05.2015 12:00:00,01.05.2015,9.2,10.670416666667,13.88,13.665296644664,0,13.665296644664,2,0,0,162.933361507541,0,0,!!
02.05.2015 12:00:00,02.05.2015,9.23,12.828958333333,17.31,15.752898900052,0,15.752898900052,2,0,0,209.683361507541,0,0,!!
03.05.2015 12:00:00,03.05.2015,11.22,16.960972222222,21.99,25.966644309093,0,25.966644309093,2,0,0,126.818772249104,0,0,!
04.05.2015 12:00:00,04.05.2015,16.61,19.730347222222,25.33,47.492751197035,0,47.492751197035,3,0,0,92.184123963693,0,0,!
05.05.2015 12:00:00,05.05.2015,14.46,18.381666666667,24.17,70.032102633204,0,70.032102633204,3,0,0,84.301094979663,0,0,
06.05.2015 12:00:00,06.05.2015,12.6,16.15875,22,96.305550108334,0,96.305550108334,3,0,0,39.242159713033,0,0,
07.05.2015 12:00:00,07.05.2015,9.84,14.335763888889,20.2,112.005664245592,0,112.005664245592,4,0,0,0.033238555914,0,0,
08.05.2015 12:00:00,08.05.2015,6.33,15.476736111111,24.34,133.648776514119,0,133.648776514119,4,0,0,21.709172712907,0,0,
09.05.2015 12:00:00,09.05.2015,13.75,16.743958333333,21.83,171.299433723291,0,171.299433723291,4,0,0,6.701621616474,0,0,
10.05.2015 12:00:00,10.05.2015,8.32,16.941736111111,24.01,213.873394986725,0,213.873394986725,5,0,0,8.422030663361,0,0,
11.05.2015 12:00:00,11.05.2015,8.21,18.709722222222,29.11,271.730061080581,0,271.730061080581,5,0,0,30.541657366866,0,0,
12.05.2015 12:00:00,12.05.2015,11.22,22.363263888889,30.83,360.052248050721,0,360.052248050721,6,0,0,36.840634170952,0,0,
13.05.2015 12:00:00,13.05.2015,12.43,20.641597222222,28.36,446.17328536309,0,446.17328536309,6,0,0,13.998406601918,0,0,
14.05.2015 12:00:00,14.05.2015,12.12,17.819236111111,22.74,512.866105180263,0,512.866105180263,7,0,0,100.311081092871,1,0,!
15.05.2015 12:00:00,15.05.2015,8.71,10.028819444444,11.87,332.729003873517,180.243605221335,512.972609094852,7,0,0,149.78704133257,1,0,!
16.05.2015 12:00:00,16.05.2015,7.54,14.681180555556,21.29,558.065921141231,0,558.065921141231,7,0,0,188.91704133257,0,0,!!
17.05.2015 12:00:00,17.05.2015,9.28,16.341527777778,22.87,614.41435430278,0,614.41435430278,7,0,0,6.328578802335,0,0,
18.05.2015 12:00:00,18.05.2015,7.2,17.021736111111,24.19,674.636187748214,0,674.636187748214,8,0,0,41.738578802335,2,0,
19.05.2015 12:00:00,19.05.2015,12,14.820208333333,16.35,729.47800618517,0,729.47800618517,8,0,0,0.11790309977,1,0,
20.05.2015 12:00:00,20.05.2015,7.02,10.77,14.04,700.707559507085,35.497348542677,736.204908049762,8,0,0,19.41285464643,0,0,
21.05.2015 12:00:00,21.05.2015,3.9,11.122569444444,17.14,746.284406921371,0,746.284406921371,8,0,0,26.911673035557,1,0,
22.05.2015 12:00:00,22.05.2015,2.89,12.507847222222,20.11,769.348330602538,0,769.348330602538,8,0,0,6.556966766474,0,0,
23.05.2015 12:00:00,23.05.2015,5.69,14.397777777778,22.24,812.7905166763,0,812.7905166763,8,0,0,0.016343041597,0,0,
24.05.2015 12:00:00,24.05.2015,7.59,15.707430555556,21,870.197884214354,0,870.197884214354,9,0,0,6.000000666559,0,0,
25.05.2015 12:00:00,25.05.2015,11.82,15.162708333333,22.34,917.844247853938,0,917.844247853938,9,0,0,109.405114950648,0,0,!
26.05.2015 12:00:00,26.05.2015,7.86,12.695902777778,15.82,930.088375844213,19.152960238638,949.241336082852,9,0,0,208.621781617315,0,0,!!
27.05.2015 12:00:00,27.05.2015,4.86,12.01125,18.87,932.468592385791,35.597139055703,968.065731441494,9,0,0,12.419308055369,0,0,
28.05.2015 12:00:00,28.05.2015,5.69,15.416041666667,23.48,1022.23438167533,0,1022.23438167533,9,0,0,19.427983092873,0,0,
29.05.2015 12:00:00,29.05.2015,10.23,17.773125,25.47,1098.80191147105,0,1098.80191147105,10,0,0,23.145675779332,0,0,
30.05.2015 12:00:00,30.05.2015,10.91,16.014097222222,20.02,1133.54247119149,19.165182789152,1152.70765398064,10,0,0,0.149130347827,0,0,
31.05.2015 12:00:00,31.05.2015,7.64,17.418680555556,24.71,1209.04806026657,19.167081350629,1228.2151416172,10,0,0,24.705018946803,0,0,
01.06.2015 12:00:00,01.06.2015,14.76,19.244375,23.3,1277.71680749959,35.634333957919,1313.35114145751,11,0,0,0.057471412557,0,0,
02.06.2015 12:00:00,02.06.2015,14.11,21.692638888889,27.94,1376.9243383999,35.637867818871,1412.56220621877,11,0,0,0.000011010444,1,0,
03.06.2015 12:00:00,03.06.2015,16.76,23.105763888889,29.34,1492.54688058478,35.640125207381,1528.18700579216,12,0,0,0.00000000210939441703,2,0,
04.06.2015 12:00:00,04.06.2015,12.05,21.02375,29.11,1501.95734671105,117.136525988537,1619.09387269958,12,0,0,47.935,0,0,
05.06.2015 12:00:00,05.06.2015,14.79,25.255972222222,34.98,1588.03123072795,147.98263411873,1736.01386484668,13,0,0,55.173543504362,0,0,
06.06.2015 12:00:00,06.06.2015,16.08,24.923819444444,32.23,1698.22612766955,147.987381419998,1846.21350908954,13,0,0,100.836013731605,0,0,!
07.06.2015 12:00:00,07.06.2015,17.3,22.393194444444,26.97,1663.40843592068,275.772011592479,1939.18044751316,14,0,0,35.962952163741,0,0,
08.06.2015 12:00:00,08.06.2015,14.1,16.031180555556,18.04,1546.43657190543,431.94825215819,1978.38482406362,14,0,0,135.279618830408,0,0,!
09.06.2015 12:00:00,09.06.2015,12.8,15.472847222222,17.83,1580.79457264566,431.9553797068,2012.74995235246,14,0,0,1.501232936659,2,0,
