"Zunzingen, 16.03.2021",Data per day from: 01.01.2016 to 31.12.2016,,,,,,,,,,,,,
time,Date,Tmin,Tavg,Tmax,LeafSurfGrowing,LeafSurfNoGrowing,TotalLeafSurf,NbrLeaves,DegrDaysBeeryInf,SuscBeery,IntensityOfInf,complInk.Leaf,complInk.Beery,RiskIndexMark
30.04.2016 12:00:00,30.04.2016,2.45,9.364236111111,17.02,3.973705431484,0,3.973705431484,1,0,0,27.463333333333,0,0,
01.05.2016 12:00:00,01.05.2016,5.27,7.397083333333,10.21,3.173941272063,0.829354845233,4.003296117297,1,0,0,77.066166666667,0,0,
02.05.2016 12:00:00,02.05.2016,6.75,11.780069444444,19.09,4.400360967814,0,4.400360967814,1,0,0,113.366166666667,0,0,!
03.05.2016 12:00:00,03.05.2016,3.39,9.425902777778,16.8,0,4.400360967814,4.400360967814,1,0,0,32.950584282393,0,0,
04.05.2016 12:00:00,04.05.2016,1.65,9.491527777778,17.17,0,4.400360967814,4.400360967814,1,0,0,39.072201431241,0,0,
05.05.2016 12:00:00,05.05.2016,1.65,13.332222222222,23.11,5.235960390961,0,5.235960390961,1,0,0,0.198747513883,0,0,
06.05.2016 12:00:00,06.05.2016,5.66,16.170347222222,25.44,7.125374809313,0,7.125374809313,1,0,0,2.065042954156,0,0,
07.05.2016 12:00:00,07.05.2016,8.16,17.844652777778,25.88,14.330406002631,0,14.330406002631,2,0,0,0.003194606825,0,0,
08.05.2016 12:00:00,08.05.2016,7.87,18.151597222222,27.43,25.385152378199,0,25.385152378199,2,0,0,0.000000612027,0,0,
09.05.2016 12:00:00,09.05.2016,10.34,17.434375,23.99,40.927009203739,0,40.927009203739,3,0,0,33.673929333333,0,0,
10.05.2016 12:00:00,10.05.2016,14.17,17.388958333333,22.26,58.976757619804,0,58.976757619804,3,0,0,166.495596,0,0,!!
11.05.2016 12:00:00,11.05.2016,11.63,15.469791666667,19.04,75.579823319674,0,75.579823319674,3,0,0,168.214834317733,0,0,!!
12.05.2016 12:00:00,12.05.2016,11.8,13.435138888889,15.62,85.575843028927,0,85.575843028927,3,0,0,158.934439787744,0,0,!!
13.05.2016 12:00:00,13.05.2016,11.96,13.518888888889,16.81,101.806246843325,0,101.806246843325,4,0,0,305.62610645441,0,0,!!!
14.05.2016 12:00:00,14.05.2016,7.57,12.624930555556,18.65,111.059899413905,0,111.059899413905,4,0,0,318.806788523393,0,0,!!!
15.05.2016 12:00:00,15.05.2016,4.7,9.025,14.08,0,111.059899413905,111.059899413905,4,0,0,116.202822148229,0,0,!
16.05.2016 12:00:00,16.05.2016,4.8,9.077569444444,13.85,0,111.059899413905,111.059899413905,4,0,0,49.739380196869,0,0,
17.05.2016 12:00:00,17.05.2016,6.33,12.490416666667,19.39,120.279111310282,0,120.279111310282,4,0,0,78.891046863536,0,0,
18.05.2016 12:00:00,18.05.2016,4.38,14.488611111111,23.14,145.634928377347,0,145.634928377347,4,0,0,19.230414907176,0,0,
